Author	Title	Tags	Directory
John Wiswell	Someone You Can Build a Nest in	2024, Nebula-Award-for-Best-Novel2024, DAW Books, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
James Lee Burke	Flags on the Bayou	2024, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Alexander Boldizar	The Man Who Saw Seconds	Locus-Award-for-Best-Science-Fiction2025, Locus-Award-for-Best-Science-Fiction, 2024	science-fiction
T. Kingfisher	A Sorceress Comes to Call	Locus-Award-for-Best-Fantasy-Fiction, 2024, Locus-Award-for-Best-Fantasy2025	fantasy-fiction
Vajra Chandrasekera	The Saint of Bright Doors	2023, Tordotcom, Novel, Nebula-Award-for-Best-Novel2023, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Emily Tesh	Some Desperate Glory	2023, Novel, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel2024, Tordotcom/Orbit Books, science-fiction	science-fiction
Danya Kukafka	Notes on an Execution	2023, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Kellye Garrett	Like a Sister	 Anthony-Award-for-Best-Novel-Winner, 2023	mystery-fiction
Sujata Massey	The Mistress of Bhatia House	2023, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Martha Wells	System Collapse	Locus-Award-for-Best-Science-Fiction, 2023, Locus-Award-for-Best-Science-Fiction2024	science-fiction
Martha Wells	Witch King	Locus-Award-for-Best-Fantasy-Fiction, 2023, Locus-Award-for-Best-Fantasy2024	fantasy-fiction
R. F. Kuang	Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution	British Book Award,  Backwell's Books of the Year, 2022, Locus-Award-For-Best-Fantasy-Novel, Locus-Award-For-Best-Fantasy-Novel2023, Alex Award, British Book Award2023, Novel, Nebula-Award-for-Best-Novel2022, Alex Award2022, Backwell's Books of the Year2022, Nebula-Award-for-Best-Novel, Harper Voyager, Locus Award2023, science-fiction	science-fiction
Ursula Vernon	Nettle & Bone	2022, Novel, Hugo-Award-for-Best-Novel, Tor Books, Hugo-Award-for-Best-Novel2023, science-fiction	science-fiction
James Kestrel	Five Decembers	2022, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
S. A. Cosby	Razorblade Tears	 Anthony-Award-for-Best-Novel-Winner, 2022	mystery-fiction
Amanda Flower	Because I Could Not Stop for Death	2022, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
John Scalzi	The Kaiju Preservation Society	Locus-Award-for-Best-Science-Fiction, 2022, Locus-Award-for-Best-Science-Fiction2023	science-fiction
R. F. Kuang	Babel, or the Necessity of Violence	Locus-Award-for-Best-Fantasy-Fiction, 2022, Locus-Award-for-Best-Fantasy2023	fantasy-fiction
P. Djèlí Clark	A Master of Djinn	2021, Novel, Nebula-Award-for-Best-Novel2021, World-Fantasy-Award-finalist, Tor.com Publishing, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Arkady Martine	A Desolation Called Peace	2021, Fiction, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Tor.com Publishing, Hugo-Award-for-Best-Novel2022, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-for-Best-Science-Fiction2022, Locus-Award-For-Best-Science-Fiction, Tor Books, science-fiction	science-fiction
Ellen Byron	Cajun Kiss of Death	2021, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Deepa Anappara	Djinn Patrol on the Purple Line	2021, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
S. A. Cosby	Blacktop Wasteland	2021,  Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Fonda Lee	Jade Legacy	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2022, 2021	fantasy-fiction
Martha Wells	Network Effect	2020, Fiction, Novel, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel2020, Tor.com Publishing, Locus-Award-for-Best-Science-Fiction2021, Locus-Award-for-Best-Science-Fiction, Hugo-Award-for-Best-Novel2021, science-fiction	science-fiction
Louise Penny	All the Devils Are Here	2020, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Elly Griffiths	The Stranger Diaries	2020, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Hank Phillippi Ryan	The Murder List	2020,  Anthony-Award-for-Best-Novel-Winner	mystery-fiction
N. K. Jemisin	The City We Became	Locus-Award-for-Best-Fantasy-Fiction, 2020, Locus-Award-for-Best-Fantasy2021	fantasy-fiction
Claire Adam	Golden Child	Fiction, 2019, BBC-100-Most-Inspiring-Novels, Novel, Coming-of-Age, Trinidadian	fiction
Sarah Pinsker	A Song for a New Day	Berkley Press, 2019, Novel, Nebula-Award-for-Best-Novel2019, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Arkady Martine	A Memory Called Empire	2019, Novel, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel-Finalist, Tor Books, Hugo-Award-for-Best-Novel2020, science-fiction	science-fiction
Ann Cleeves	The Long Call	Agatha-Award-for-Best-Novel-Winner, 2019	mystery-fiction
Lou Berney	November Road	 Anthony-Award-for-Best-Novel-Winner, 2019	mystery-fiction
Charlie Jane Anders	The City in the Middle of the Night	Locus-Award-for-Best-Science-Fiction, 2019, Locus-Award-for-Best-Science-Fiction2020	science-fiction
Seanan McGuire	Middlegame	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2020, 2019	fantasy-fiction
Sam J. Miller	Blackfish City	2019, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Ecco Press, science-fiction	science-fiction
Mary Robinette Kowal	The Calculating Stars	Locus-Award-for-Best-Science-Fiction2019, Fiction, 2018, Novel, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel2019, Locus-Award-for-Best-Science-Fiction, Nebula-Award-for-Best-Novel2018, Nebula-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Locus-Award-For-Best-Science-Fiction, Tor Books, science-fiction	science-fiction
Attica Locke	Bluebird, Bluebird	 Anthony-Award-for-Best-Novel-Winner, 2018, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Naomi Novik	Spinning Silver	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2019, 2018	fantasy-fiction
David Walton	The Genius Plague	2018, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Pyr, science-fiction	science-fiction
