John Varley	Titan	1979, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1980	science-fiction
Joan D. Vinge	The Snow Queen	1980, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1981	science-fiction
Julian May	The Many-Colored Land	1981, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1982	science-fiction
Isaac Asimov	Foundation's Edge	1982, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1983	science-fiction
David Brin	Startide Rising	1983, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1984	science-fiction
Larry Niven	The Integral Trees	1984, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1985	science-fiction
David Brin	The Postman	1985, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1986	science-fiction
Orson Scott Card	Speaker for the Dead	1986, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1987	science-fiction
David Brin	The Uplift War	1987, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1988	science-fiction
C. J. Cherryh	Cyteen	1988, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1989	science-fiction
Dan Simmons	Hyperion	1989, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1990	science-fiction
Dan Simmons	The Fall of Hyperion	1990, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1991	science-fiction
Lois McMaster Bujold	Barrayar	1991, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1992	science-fiction
Connie Willis	Doomsday Book	1992, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1993	science-fiction
Kim Stanley Robinson	Green Mars	1993, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1994	science-fiction
