Author	Title	Tags	Directory
Charlotte Jay	Beat Not the Bones	1954, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Raymond Chandler	The Long Goodbye	1955, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Margaret Millar	Beast in View	1956, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Charlotte Armstrong	A Dram of Poison	1957, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Ed Lacy	Room to Swing	1958, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Celia Fremlin	The Hours Before Dawn	1960, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Julian Symons	The Progress of a Crime	1961, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
J.J. Marric	Gideon’s Fire	1962, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Ellis Peters	Death and the Joyful Woman	1963, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Eric Ambler	The Light of Day	1964, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
John le Carré	The Spy Who Came in from the Cold	1965, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Adam Hall	The Quiller Memorandum	1966, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Nicolas Freeling	The King of the Rainy Country	1967, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Donald E. Westlake	God Save the Mark	1968, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Jeffery Hudson	A Case of Need	1969, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Dick Francis	Forfeit	1970, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Maj Sjowall & Per Wahloo	The Laughing Policeman	1971, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Frederick Forsyth	The Day of the Jackal	1972, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Warren Kiefer	The Lingala Code	1973, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Tony Hillerman	Dance Hall of the Dead	1974, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Jon Cleary	Peter’s Pence	1975, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Brian Garfield	Hopscotch	1976, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Robert B. Parker	Promised Land	1977, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
William H. Hallahan	Catch Me: Kill Me	1978, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Ken Follett	The Eye of the Needle	1979, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Arthur Maling	The Rheingold Route	1980, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Dick Francis	Whip Hand	1981, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
William Bayer	Peregrine	1982, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Rick Boyer	Billingsgate Shoal	1983, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Elmore Leonard	La Brava	1984, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Ross Thomas	Briar Patch	1985, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
L.R. Wright	The Suspect	1986, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Barbara Vine	A Dark-Adapted Eye	1987, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Aaron Elkins	Old Bones	1988, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
