Author	Title	Tags	Directory
Alfred Bester	The Demolished Man	1952, 1952-1953, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel1953, science-fiction, science fiction, novel, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1952	science-fiction
Frank Riley, Mark Clifton	They'd Rather Be Right (also known as The Forever Machine)	1954, 1954-1957, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel1955, Astounding Science-Fiction, Novel, science-fiction	science-fiction
Robert A. Heinlein	Double Star	1956, Hugo-Award-for-Best-Novel, Political Fiction, science-fiction, science fiction, Science Fiction, novel, Novel, Hugo Award for Best Novel (1956), Astounding Science-Fiction, Hugo-Award-for-Best-Novel1956	science-fiction
Fritz Leiber	The Big Time	1958, Hugo-Award-for-Best-Novel, Galaxy Science Fiction, Novel, science-fiction, Hugo-Award-for-Best-Novel1958	science-fiction
James Blish	A Case of Conscience	1958, Hugo-Award-for-Best-Novel1959, Hugo-Award-for-Best-Novel, science-fiction, science fiction, Novel, novel, Ballantine Books	science-fiction
Robert A. Heinlein	Starship Troopers	1959, Hugo-Award-for-Best-Novel, The Magazine of Fantasy, science-fiction, science fiction, Science Fiction, novel, Novel, Military Fiction, Hugo Award for Best Novel (1960), Hugo-Award-for-Best-Novel1960	science-fiction
Walter M. Miller	A Canticle for Leibowitz	1959, Hugo-Award-for-Best-Novel1961, Hugo-Award-for-Best-Novel, science-fiction, Novel, J. B. Lippincott	science-fiction
Robert A. Heinlein	Stranger in a Strange Land	1961, Hugo-Award-for-Best-Novel1962, Hugo-Award-for-Best-Novel, Putnam Publishing Group, science fiction, science-fiction, Science Fiction, novel, Novel, Social Commentary	science-fiction
Philip K. Dick	The Man in the High Castle	1962, Hugo-Award-for-Best-Novel, Putnam Publishing Group, science-fiction, science fiction, novel, Novel, Hugo-Award-for-Best-Novel1963	science-fiction
Clifford D. Simak	Here Gather the Stars (also known as Way Station)	Hugo-Award-for-Best-Novel1964, 1963, Galaxy Science Fiction, Novel, science-fiction	science-fiction
Fritz Leiber	The Wanderer	1964, Ballantine Books, Hugo-Award-for-Best-Novel1965, Hugo-Award-for-Best-Novel, Novel, science-fiction	science-fiction
Frank Herbert	Dune	1963, 1963-1965, 1965, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1966, Nebula-Award-for-Best-Novel, science-fiction, BBC-100-Most-Inspiring-Novels, Novel, Chilton Company, Hugo-Award-for-Best-Novel1966	science-fiction
Roger Zelazny	...And Call Me Conrad or This Immortal	1965, Hugo-Award-for-Best-Novel, The-Magazine-of-Fantasy, science-fiction, Science-Fiction, Novel, Hugo-Award-for-Best-Novel1966,	science-fiction
Roger Zelazny	Lord of Light	1967, Hugo-Award-for-Best-Novel, science fiction, science-fiction, Nebula-Award-for-Best-Novel-Finalist, novel, Novel, Hugo-Award-for-Best-Novel1968, Doubleday, goodreads-4.05, Nebula-Award-for-Best-Novel-Finalist1968, Hugo-Award-for-Best-Novel1967	science-fiction
Robert A. Heinlein	The Moon Is a Harsh Mistressd	1966, Hugo-Award-for-Best-Novel1967, Hugo-Award-for-Best-Novel, If, Novel, science-fiction	science-fiction
John Brunner	Stand on Zanzibar	1967, 1968, 1967-1968, Hugo-Award-for-Best-Novel, science-fiction, science fiction, Nebula-Award-for-Best-Novel-Finalist, novel, Novel, Doubleday, Hugo-Award-for-Best-Novel1969, BSFA Award, Prix Tour-Apollo Award	science-fiction
Ursula K. Le Guin	The Left Hand of Darkness	1969, Nebula-Award-for-Best-Novel1969, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science fiction, science-fiction, Ace Books, novel, Novel, Hugo-Award-for-Best-Novel1970	science-fiction
Larry Niven	Ringworld	1970, Nebula-Award-for-Best-Novel1970, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, novel, Novel, Ballantine Books, Hugo-Award-for-Best-Novel1971	science-fiction
