Author	Title	Tags	Directory
Roger Zelazny	...And Call Me Conrad or This Immortal	Hugo-Award-for-Best-Novel, Novel, Science Fiction, The Magazine of Fantasy, science-fiction	science-fiction
Roger Zelazny	Lord of Light	Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, 1967, Doubleday, Novel, science fiction, novel, science-fiction	science-fiction
Roger Zelazny	Isle of the Dead	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Ace Books, Novel	science-fiction
Roger Zelazny	Doorways in the Sand	Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Analog Science Fact, science-fiction	science-fiction
Roger Zelazny	A Night in the Lonesome October	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Morrow AvoNova	science-fiction
Roger Zelazny	Trumps of Doom	Fiction, Locus-Award-For-Best-Fantasy-Novel, 1986, Novel	fiction
Roger Zelazny	Permafrost	1986, Hugo-Award-for-Best-Novelette1987, Hugo-Award-for-Best-Novelette, 1987, 1986, Nebula-Award-for-Best-Novelette-nominee, Nebula-Award-for-Best-Novelette-nominee1986	science-fiction
Roger Zelazny	This Immortal	1966, novel, science fiction	science-fiction
Roger Zelazny	For a Breath I Tarry	1966, short-story, science fiction	science-fiction
Frank Herbert	Dune	BBC-100-Most-Inspiring-Novels, Hugo-Award-for-Best-Novel1966, Hugo-Award-for-Best-Novel, 1965, Chilton Company, Nebula-Award-for-Best-Novel, Novel, science-fiction	science-fiction
Kate Wilhelm	Where Late the Sweet Birds Sang	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Row, Novel, science fiction, novel, 1976, Harper, science-fiction	science-fiction
Kate Wilhelm	Margaret and I	Little, Nebula-Award-for-Best-Novel-Finalist, Novel, Brown and Company, science-fiction	science-fiction
Kate Wilhelm	Juniper Time	Nebula-Award-for-Best-Novel-Finalist, Row, Novel, Harper, science-fiction	science-fiction
Kate Wilhelm	The Planners	Nebula-Award-for-Best-Short-Story, Orbit 3 (G. P. Putnam's Sons), science-fiction, Short-Story	science-fiction
Kate Wilhelm	Forever Yours, Anna	Nebula-Award-for-Best-Short-Story, Omni, science-fiction, Short-Story	science-fiction
Philip José Farmer	To Your Scattered Bodies Go	Putnam Publishing Group, Hugo-Award-for-Best-Novel, Novel, science fiction, novel, 1971, science-fiction	science-fiction
Connie Willis	To Say Nothing of the Dog	Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel-Finalist, Bantam Spectra, Hugo-Award-for-Best-Novel, 1998, Novel, science fiction, novel, Fiction, science-fiction	science-fiction
Connie Willis	Doomsday Book	Locus-Award-For-Best-Science-Fiction, 1992, Bantam Spectra, Hugo-Award-for-Best-Novel, Novel, science fiction, novel, Fiction, science-fiction	science-fiction
Connie Willis	Blackout/All Clear	Locus-Award-For-Best-Science-Fiction, Spectra Books, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Bantam Spectra, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Fiction, science-fiction	science-fiction
Connie Willis	Bellwether	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Bantam Spectra, Novel	science-fiction
Connie Willis	Passage	Locus-Award-For-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Bantam Books, Novel, Fiction, science-fiction	science-fiction
Connie Willis	Lincoln's Dreams	science-fiction, Bantam Spectra, Novel, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Connie Willis	A Letter from the Clearys	Nebula-Award-for-Best-Short-Story, science-fiction, Short-Story, Asimov's Science Fiction	science-fiction
Connie Willis	Even the Queen	1992, Asimov's Science Fiction, Hugo-Award-for-Best-Short-Story, science fiction, Short-Story, short-story, Nebula-Award-for-Best-Short-Story, science-fiction	science-fiction
Connie Willis	At the Rialto	short-story, 1989, science fiction	science-fiction
Connie Willis	The Last of the Winnebagos	1988, short-story, science fiction	science-fiction
Connie Willis	Fire Watch	1982, short-story, science fiction	science-fiction
Connie Willis	Death on the Nile	Hugo-Award-for-Best-Short-Story, science-fiction, Short-Story, Asimov's Science Fiction	science-fiction
Connie Willis	The Soul Selects Her Own Society: Invasion and Repulsion: A Chronological Reinterpretation of Two of Emily Dickinson's Poems: A Wellsian Perspective	Hugo-Award-for-Best-Short-Story, science-fiction, Short-Story, Asimov's Science Fiction	science-fiction
Mark Clifton	They'd Rather Be Right (also known as The Forever Machine)	Hugo-Award-for-Best-Novel, Novel, science-fiction, Astounding Science-Fiction	science-fiction
Michael Chabon	The Yiddish Policemen's Union	Locus-Award-For-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Fiction, HarperCollins, science-fiction	science-fiction
Paolo Bacigalupi	The Windup Girl	Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Night Shade Books, science-fiction, 2009	science-fiction
Paolo Bacigalupi	The Water Knife	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, Orbit Books, Alfred A. Knopf, science-fiction	science-fiction
Paolo Bacigalupi	The Calorie Man	Science Fiction, Fantasy, Short-Story, Theodore Sturgeon Award, science-fiction	science-fiction
Fritz Leiber	The Wanderer	Hugo-Award-for-Best-Novel, science-fiction, Ballantine Books, Novel	science-fiction
Fritz Leiber	The Big Time	Hugo-Award-for-Best-Novel, Galaxy Science Fiction, Novel, science-fiction	science-fiction
